CancerType	Family	Subfamily	NormalCounts	CancerCounts
ESCA	L1	(A)n	0.052,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.513,0.801,0.257,1.679,2.396,0.570,3.412,1.463,0.336,10.20,0.915,1.844,0.059,0.572,1.645,1.866,2.139,0.332
ESCA	L1	L1PREC1	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.115,0.155,0.045,0.118,0.397,0.120,0.791,0.577,1.173,0.545,0.018,0.482,0.067,0.072,1.277,0.266,1.213,0.044
ESCA	L1	L1HS	0.862,0.834,0.208,2.262,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	11.61,15.92,6.434,38.37,87.32,23.14,110.2,78.60,11.79,139.0,15.49,58.71,4.989,10.83,46.22,37.80,59.72,7.507
ESCA	L1	L1PA3	1.383,0.207,1.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.593,1.915,0.907,4.618,8.250,0.802,4.403,5.057,2.117,13.50,3.394,6.258,1.173,1.283,4.417,2.423,7.886,1.116
ESCA	L1	L1PA2	0.328,1.165,0.207,2.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	1.171,2.257,1.173,5.319,9.312,1.561,5.356,7.197,2.404,22.70,2.764,6.408,1.046,1.732,5.442,2.212,7.816,1.197
ESCA	L1	L1PA5	0.421,0.211,0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.064,0.030,0.429,1.268,0.127,0.482,2.475,0.156,1.159,0.173,0.318,0.098,0.622,0.850,0.589,0.472,0.000,0.000
ESCA	L1	L1PA4	0.472,0.210,1.0,0.774,0.375,0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.273,1.217,0.683,3.220,6.845,0.979,3.411,3.769,1.084,8.172,2.041,3.505,0.428,1.200,4.287,2.294,4.911,1.127
ESCA	L1	L1	0.332,1.0,1.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	1.594,1.651,1.369,4.994,10.79,2.309,13.01,10.35,6.820,8.681,2.969,6.732,0.236,1.183,5.213,7.062,7.266,0.754
ESCA	SINE	AluYa4	0.527,0.498,0.747,0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.498,0.943,0.097,1.923,0.498,0.460,0.415,0.499,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ESCA	SINE	AluYa5	0.572,0.501,0.501,0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.501,1.056,2.076,0.501,0.462,0.584,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
