Run	Chromosome	Count	RunTotal
run0	1	88	1185
run0	2	123	1185
run0	3	19	1185
run0	4	93	1185
run0	5	89	1185
run0	6	90	1185
run0	7	79	1185
run0	8	81	1185
run0	9	50	1185
run0	10	43	1185
run0	11	60	1185
run0	12	55	1185
run0	13	55	1185
run0	14	48	1185
run0	15	31	1185
run0	16	20	1185
run0	17	14	1185
run0	18	42	1185
run0	19	15	1185
run0	20	16	1185
run0	21	10	1185
run0	22	4	1185
run0	X	57	1185
run0	Y	3	1185
run1	1	6090	75373
run1	2	6738	75373
run1	3	5823	75373
run1	4	6140	75373
run1	5	5436	75373
run1	6	4975	75373
run1	7	6167	75373
run1	8	4050	75373
run1	9	2864	75373
run1	10	1377	75373
run1	11	3585	75373
run1	12	3941	75373
run1	13	2778	75373
run1	14	2258	75373
run1	15	1938	75373
run1	16	1698	75373
run1	17	1807	75373
run1	18	2029	75373
run1	19	1288	75373
run1	20	1343	75373
run1	21	946	75373
run1	22	657	75373
run1	X	1297	75373
run1	Y	148	75373
run2	1	207	2372
run2	2	217	2372
run2	3	97	2372
run2	4	160	2372
run2	5	168	2372
run2	6	153	2372
run2	7	139	2372
run2	8	154	2372
run2	9	92	2372
run2	10	92	2372
run2	11	117	2372
run2	12	115	2372
run2	13	96	2372
run2	14	84	2372
run2	15	49	2372
run2	16	48	2372
run2	17	58	2372
run2	18	55	2372
run2	19	55	2372
run2	20	53	2372
run2	21	14	2372
run2	22	21	2372
run2	X	124	2372
run2	Y	4	2372
run3	1	759	9588
run3	2	810	9588
run3	3	619	9588
run3	4	621	9588
run3	5	569	9588
run3	6	822	9588
run3	7	432	9588
run3	8	596	9588
run3	9	320	9588
run3	10	393	9588
run3	11	427	9588
run3	12	452	9588
run3	13	390	9588
run3	14	271	9588
run3	15	182	9588
run3	16	112	9588
run3	17	130	9588
run3	18	236	9588
run3	19	142	9588
run3	20	202	9588
run3	21	63	9588
run3	22	52	9588
run3	X	980	9588
run3	Y	8	9588
run4	1	14	233
run4	2	10	233
run4	3	14	233
run4	4	21	233
run4	5	21	233
run4	6	9	233
run4	7	10	233
run4	8	10	233
run4	9	9	233
run4	10	15	233
run4	11	10	233
run4	12	12	233
run4	13	12	233
run4	14	13	233
run4	15	7	233
run4	16	3	233
run4	17	5	233
run4	18	7	233
run4	19	7	233
run4	20	3	233
run4	21	3	233
run4	22	4	233
run4	X	12	233
run4	Y	2	233
run5	1	60	790
run5	2	61	790
run5	3	53	790
run5	4	66	790
run5	5	72	790
run5	6	61	790
run5	7	25	790
run5	8	42	790
run5	9	34	790
run5	10	41	790
run5	11	35	790
run5	12	37	790
run5	13	19	790
run5	14	28	790
run5	15	21	790
run5	16	11	790
run5	17	18	790
run5	18	9	790
run5	19	10	790
run5	20	16	790
run5	21	7	790
run5	22	6	790
run5	X	54	790
run5	Y	4	790
run6	1	83	1176
run6	2	130	1176
run6	3	18	1176
run6	4	110	1176
run6	5	76	1176
run6	6	75	1176
run6	7	90	1176
run6	8	84	1176
run6	9	34	1176
run6	10	41	1176
run6	11	54	1176
run6	12	52	1176
run6	13	58	1176
run6	14	53	1176
run6	15	34	1176
run6	16	23	1176
run6	17	20	1176
run6	18	33	1176
run6	19	9	1176
run6	20	17	1176
run6	21	22	1176
run6	22	4	1176
run6	X	53	1176
run6	Y	3	1176
run7	1	13	116
run7	2	2	116
run7	3	0	116
run7	4	6	116
run7	5	5	116
run7	6	6	116
run7	7	7	116
run7	8	14	116
run7	9	11	116
run7	10	3	116
run7	11	8	116
run7	12	10	116
run7	13	4	116
run7	14	2	116
run7	15	6	116
run7	16	4	116
run7	17	2	116
run7	18	1	116
run7	19	0	116
run7	20	2	116
run7	21	0	116
run7	22	6	116
run7	X	4	116
run7	Y	0	116
run8	1	160	2461
run8	2	185	2461
run8	3	136	2461
run8	4	180	2461
run8	5	168	2461
run8	6	157	2461
run8	7	140	2461
run8	8	157	2461
run8	9	107	2461
run8	10	88	2461
run8	11	131	2461
run8	12	125	2461
run8	13	118	2461
run8	14	78	2461
run8	15	47	2461
run8	16	52	2461
run8	17	63	2461
run8	18	68	2461
run8	19	39	2461
run8	20	53	2461
run8	21	19	2461
run8	22	6	2461
run8	X	177	2461
run8	Y	7	2461
run9	1	144	2001
run9	2	176	2001
run9	3	105	2001
run9	4	115	2001
run9	5	213	2001
run9	6	169	2001
run9	7	119	2001
run9	8	145	2001
run9	9	29	2001
run9	10	50	2001
run9	11	87	2001
run9	12	117	2001
run9	13	81	2001
run9	14	84	2001
run9	15	59	2001
run9	16	36	2001
run9	17	36	2001
run9	18	63	2001
run9	19	17	2001
run9	20	61	2001
run9	21	28	2001
run9	22	10	2001
run9	X	53	2001
run9	Y	4	2001
run10	1	17	305
run10	2	26	305
run10	3	8	305
run10	4	25	305
run10	5	16	305
run10	6	28	305
run10	7	24	305
run10	8	16	305
run10	9	9	305
run10	10	10	305
run10	11	28	305
run10	12	12	305
run10	13	6	305
run10	14	11	305
run10	15	4	305
run10	16	6	305
run10	17	5	305
run10	18	14	305
run10	19	3	305
run10	20	9	305
run10	21	8	305
run10	22	3	305
run10	X	15	305
run10	Y	2	305
run11	1	163	1101
run11	2	41	1101
run11	3	37	1101
run11	4	34	1101
run11	5	158	1101
run11	6	43	1101
run11	7	46	1101
run11	8	51	1101
run11	9	29	1101
run11	10	12	1101
run11	11	21	1101
run11	12	220	1101
run11	13	22	1101
run11	14	11	1101
run11	15	12	1101
run11	16	11	1101
run11	17	18	1101
run11	18	20	1101
run11	19	9	1101
run11	20	19	1101
run11	21	14	1101
run11	22	4	1101
run11	X	99	1101
run11	Y	7	1101
run12	1	45	706
run12	2	51	706
run12	3	66	706
run12	4	57	706
run12	5	53	706
run12	6	37	706
run12	7	68	706
run12	8	37	706
run12	9	15	706
run12	10	31	706
run12	11	32	706
run12	12	33	706
run12	13	23	706
run12	14	16	706
run12	15	10	706
run12	16	19	706
run12	17	14	706
run12	18	23	706
run12	19	10	706
run12	20	9	706
run12	21	5	706
run12	22	4	706
run12	X	43	706
run12	Y	5	706
run13	1	8	80
run13	2	6	80
run13	3	2	80
run13	4	8	80
run13	5	6	80
run13	6	3	80
run13	7	4	80
run13	8	3	80
run13	9	3	80
run13	10	5	80
run13	11	5	80
run13	12	6	80
run13	13	2	80
run13	14	5	80
run13	15	0	80
run13	16	1	80
run13	17	0	80
run13	18	1	80
run13	19	1	80
run13	20	3	80
run13	21	2	80
run13	22	0	80
run13	X	5	80
run13	Y	1	80
run14	1	15	154
run14	2	10	154
run14	3	11	154
run14	4	15	154
run14	5	18	154
run14	6	7	154
run14	7	11	154
run14	8	11	154
run14	9	5	154
run14	10	5	154
run14	11	5	154
run14	12	8	154
run14	13	7	154
run14	14	2	154
run14	15	5	154
run14	16	2	154
run14	17	3	154
run14	18	2	154
run14	19	3	154
run14	20	0	154
run14	21	0	154
run14	22	2	154
run14	X	7	154
run14	Y	0	154
run15	1	91	1248
run15	2	132	1248
run15	3	12	1248
run15	4	180	1248
run15	5	133	1248
run15	6	65	1248
run15	7	93	1248
run15	8	137	1248
run15	9	27	1248
run15	10	28	1248
run15	11	62	1248
run15	12	54	1248
run15	13	75	1248
run15	14	18	1248
run15	15	24	1248
run15	16	15	1248
run15	17	17	1248
run15	18	25	1248
run15	19	8	1248
run15	20	12	1248
run15	21	16	1248
run15	22	3	1248
run15	X	20	1248
run15	Y	1	1248
run16	1	487	5522
run16	2	468	5522
run16	3	40	5522
run16	4	454	5522
run16	5	417	5522
run16	6	414	5522
run16	7	273	5522
run16	8	380	5522
run16	9	198	5522
run16	10	271	5522
run16	11	303	5522
run16	12	279	5522
run16	13	117	5522
run16	14	160	5522
run16	15	107	5522
run16	16	67	5522
run16	17	54	5522
run16	18	119	5522
run16	19	33	5522
run16	20	102	5522
run16	21	47	5522
run16	22	11	5522
run16	X	721	5522
run16	Y	0	5522
run17	1	41	466
run17	2	42	466
run17	3	6	466
run17	4	32	466
run17	5	29	466
run17	6	39	466
run17	7	24	466
run17	8	60	466
run17	9	12	466
run17	10	11	466
run17	11	24	466
run17	12	18	466
run17	13	11	466
run17	14	13	466
run17	15	11	466
run17	16	10	466
run17	17	20	466
run17	18	7	466
run17	19	6	466
run17	20	10	466
run17	21	1	466
run17	22	4	466
run17	X	34	466
run17	Y	1	466
run18	1	15	223
run18	2	25	223
run18	3	1	223
run18	4	14	223
run18	5	16	223
run18	6	14	223
run18	7	10	223
run18	8	22	223
run18	9	2	223
run18	10	7	223
run18	11	19	223
run18	12	12	223
run18	13	7	223
run18	14	13	223
run18	15	4	223
run18	16	5	223
run18	17	3	223
run18	18	4	223
run18	19	7	223
run18	20	8	223
run18	21	1	223
run18	22	1	223
run18	X	13	223
run18	Y	0	223
run19	1	12	244
run19	2	21	244
run19	3	13	244
run19	4	22	244
run19	5	15	244
run19	6	13	244
run19	7	5	244
run19	8	27	244
run19	9	9	244
run19	10	3	244
run19	11	19	244
run19	12	14	244
run19	13	8	244
run19	14	10	244
run19	15	9	244
run19	16	8	244
run19	17	3	244
run19	18	9	244
run19	19	4	244
run19	20	3	244
run19	21	2	244
run19	22	2	244
run19	X	12	244
run19	Y	1	244
run20	1	23	305
run20	2	29	305
run20	3	12	305
run20	4	22	305
run20	5	18	305
run20	6	28	305
run20	7	18	305
run20	8	18	305
run20	9	14	305
run20	10	11	305
run20	11	17	305
run20	12	12	305
run20	13	11	305
run20	14	9	305
run20	15	5	305
run20	16	5	305
run20	17	4	305
run20	18	14	305
run20	19	8	305
run20	20	6	305
run20	21	0	305
run20	22	1	305
run20	X	20	305
run20	Y	0	305
run21	1	37	443
run21	2	38	443
run21	3	11	443
run21	4	31	443
run21	5	37	443
run21	6	32	443
run21	7	33	443
run21	8	33	443
run21	9	10	443
run21	10	20	443
run21	11	18	443
run21	12	19	443
run21	13	17	443
run21	14	19	443
run21	15	11	443
run21	16	10	443
run21	17	8	443
run21	18	18	443
run21	19	5	443
run21	20	6	443
run21	21	8	443
run21	22	3	443
run21	X	19	443
run21	Y	0	443
run22	1	150	1728
run22	2	154	1728
run22	3	94	1728
run22	4	75	1728
run22	5	180	1728
run22	6	103	1728
run22	7	95	1728
run22	8	73	1728
run22	9	50	1728
run22	10	56	1728
run22	11	84	1728
run22	12	166	1728
run22	13	50	1728
run22	14	68	1728
run22	15	53	1728
run22	16	43	1728
run22	17	32	1728
run22	18	47	1728
run22	19	28	1728
run22	20	20	1728
run22	21	23	1728
run22	22	17	1728
run22	X	64	1728
run22	Y	3	1728
run23	1	105	1666
run23	2	148	1666
run23	3	78	1666
run23	4	108	1666
run23	5	112	1666
run23	6	82	1666
run23	7	159	1666
run23	8	146	1666
run23	9	70	1666
run23	10	44	1666
run23	11	80	1666
run23	12	95	1666
run23	13	49	1666
run23	14	30	1666
run23	15	38	1666
run23	16	26	1666
run23	17	23	1666
run23	18	42	1666
run23	19	9	1666
run23	20	33	1666
run23	21	21	1666
run23	22	14	1666
run23	X	154	1666
run23	Y	0	1666
run24	1	261	3735
run24	2	258	3735
run24	3	33	3735
run24	4	374	3735
run24	5	372	3735
run24	6	264	3735
run24	7	249	3735
run24	8	208	3735
run24	9	131	3735
run24	10	123	3735
run24	11	193	3735
run24	12	152	3735
run24	13	145	3735
run24	14	138	3735
run24	15	69	3735
run24	16	60	3735
run24	17	19	3735
run24	18	90	3735
run24	19	7	3735
run24	20	29	3735
run24	21	44	3735
run24	22	5	3735
run24	X	511	3735
run24	Y	0	3735
run25	1	209	1632
run25	2	126	1632
run25	3	60	1632
run25	4	77	1632
run25	5	91	1632
run25	6	127	1632
run25	7	60	1632
run25	8	151	1632
run25	9	45	1632
run25	10	105	1632
run25	11	96	1632
run25	12	82	1632
run25	13	28	1632
run25	14	47	1632
run25	15	31	1632
run25	16	29	1632
run25	17	20	1632
run25	18	27	1632
run25	19	37	1632
run25	20	28	1632
run25	21	18	1632
run25	22	5	1632
run25	X	133	1632
run25	Y	0	1632
run26	1	13	135
run26	2	9	135
run26	3	11	135
run26	4	13	135
run26	5	8	135
run26	6	8	135
run26	7	6	135
run26	8	5	135
run26	9	2	135
run26	10	5	135
run26	11	5	135
run26	12	7	135
run26	13	6	135
run26	14	3	135
run26	15	3	135
run26	16	6	135
run26	17	6	135
run26	18	3	135
run26	19	2	135
run26	20	1	135
run26	21	1	135
run26	22	0	135
run26	X	12	135
run26	Y	0	135
run27	1	4	66
run27	2	4	66
run27	3	0	66
run27	4	3	66
run27	5	4	66
run27	6	5	66
run27	7	2	66
run27	8	5	66
run27	9	4	66
run27	10	3	66
run27	11	9	66
run27	12	2	66
run27	13	7	66
run27	14	2	66
run27	15	4	66
run27	16	1	66
run27	17	1	66
run27	18	0	66
run27	19	0	66
run27	20	0	66
run27	21	0	66
run27	22	0	66
run27	X	5	66
run27	Y	1	66
run28	1	46	647
run28	2	69	647
run28	3	55	647
run28	4	42	647
run28	5	37	647
run28	6	30	647
run28	7	42	647
run28	8	40	647
run28	9	24	647
run28	10	22	647
run28	11	27	647
run28	12	46	647
run28	13	22	647
run28	14	18	647
run28	15	13	647
run28	16	18	647
run28	17	13	647
run28	18	26	647
run28	19	17	647
run28	20	12	647
run28	21	5	647
run28	22	7	647
run28	X	16	647
run28	Y	0	647
run29	1	13	152
run29	2	12	152
run29	3	4	152
run29	4	12	152
run29	5	8	152
run29	6	9	152
run29	7	18	152
run29	8	12	152
run29	9	4	152
run29	10	3	152
run29	11	7	152
run29	12	7	152
run29	13	7	152
run29	14	4	152
run29	15	2	152
run29	16	0	152
run29	17	3	152
run29	18	3	152
run29	19	2	152
run29	20	1	152
run29	21	1	152
run29	22	1	152
run29	X	19	152
run29	Y	0	152
run30	1	3286	40510
run30	2	3048	40510
run30	3	2945	40510
run30	4	2760	40510
run30	5	2463	40510
run30	6	2581	40510
run30	7	2319	40510
run30	8	2381	40510
run30	9	1673	40510
run30	10	1671	40510
run30	11	1905	40510
run30	12	1997	40510
run30	13	1546	40510
run30	14	1213	40510
run30	15	950	40510
run30	16	819	40510
run30	17	641	40510
run30	18	1322	40510
run30	19	557	40510
run30	20	590	40510
run30	21	479	40510
run30	22	340	40510
run30	X	3024	40510
run30	Y	0	40510
run31	1	35	463
run31	2	40	463
run31	3	13	463
run31	4	34	463
run31	5	35	463
run31	6	27	463
run31	7	24	463
run31	8	37	463
run31	9	13	463
run31	10	29	463
run31	11	20	463
run31	12	20	463
run31	13	9	463
run31	14	11	463
run31	15	12	463
run31	16	9	463
run31	17	10	463
run31	18	17	463
run31	19	14	463
run31	20	5	463
run31	21	1	463
run31	22	2	463
run31	X	46	463
run31	Y	0	463
