Run	Chromosome	Count	RunTotal
run0	1	2811	35001
run0	2	2732	35001
run0	3	2574	35001
run0	4	2156	35001
run0	5	2149	35001
run0	6	2731	35001
run0	7	1962	35001
run0	8	1768	35001
run0	9	1347	35001
run0	10	1510	35001
run0	11	1744	35001
run0	12	1931	35001
run0	13	1456	35001
run0	14	1378	35001
run0	15	1172	35001
run0	16	745	35001
run0	17	878	35001
run0	18	838	35001
run0	19	689	35001
run0	20	746	35001
run0	21	439	35001
run0	22	356	35001
run0	X	788	35001
run0	Y	101	35001
run1	1	72759	925214
run1	2	83301	925214
run1	3	70399	925214
run1	4	72776	925214
run1	5	64338	925214
run1	6	61568	925214
run1	7	49559	925214
run1	8	50688	925214
run1	9	36241	925214
run1	10	32816	925214
run1	11	44190	925214
run1	12	45490	925214
run1	13	36446	925214
run1	14	29293	925214
run1	15	25278	925214
run1	16	21670	925214
run1	17	20773	925214
run1	18	26925	925214
run1	19	13136	925214
run1	20	17375	925214
run1	21	11833	925214
run1	22	7851	925214
run1	X	27802	925214
run1	Y	2707	925214
run2	1	5288	67774
run2	2	5328	67774
run2	3	4398	67774
run2	4	4260	67774
run2	5	4465	67774
run2	6	4735	67774
run2	7	3980	67774
run2	8	3413	67774
run2	9	2800	67774
run2	10	3237	67774
run2	11	3418	67774
run2	12	3573	67774
run2	13	3069	67774
run2	14	2338	67774
run2	15	1933	67774
run2	16	1466	67774
run2	17	1877	67774
run2	18	1364	67774
run2	19	1611	67774
run2	20	1522	67774
run2	21	738	67774
run2	22	743	67774
run2	X	1999	67774
run2	Y	219	67774
run3	1	21242	249659
run3	2	20923	249659
run3	3	21596	249659
run3	4	16301	249659
run3	5	13709	249659
run3	6	18343	249659
run3	7	14061	249659
run3	8	12827	249659
run3	9	8067	249659
run3	10	10953	249659
run3	11	11117	249659
run3	12	12618	249659
run3	13	10311	249659
run3	14	7392	249659
run3	15	6490	249659
run3	16	4564	249659
run3	17	5244	249659
run3	18	5404	249659
run3	19	5134	249659
run3	20	5777	249659
run3	21	2705	249659
run3	22	2371	249659
run3	X	12069	249659
run3	Y	441	249659
run4	1	2330	30323
run4	2	2208	30323
run4	3	2136	30323
run4	4	2079	30323
run4	5	1902	30323
run4	6	2337	30323
run4	7	1516	30323
run4	8	1432	30323
run4	9	1260	30323
run4	10	1438	30323
run4	11	1599	30323
run4	12	1541	30323
run4	13	1414	30323
run4	14	1087	30323
run4	15	904	30323
run4	16	588	30323
run4	17	819	30323
run4	18	722	30323
run4	19	640	30323
run4	20	611	30323
run4	21	372	30323
run4	22	378	30323
run4	X	916	30323
run4	Y	94	30323
run5	1	6726	87998
run5	2	7168	87998
run5	3	6259	87998
run5	4	6025	87998
run5	5	6250	87998
run5	6	6597	87998
run5	7	4447	87998
run5	8	4285	87998
run5	9	3873	87998
run5	10	4335	87998
run5	11	4583	87998
run5	12	4289	87998
run5	13	3061	87998
run5	14	2604	87998
run5	15	2470	87998
run5	16	1624	87998
run5	17	2189	87998
run5	18	2028	87998
run5	19	1628	87998
run5	20	1695	87998
run5	21	1139	87998
run5	22	735	87998
run5	X	3648	87998
run5	Y	340	87998
run6	1	2983	40672
run6	2	3290	40672
run6	3	2862	40672
run6	4	2767	40672
run6	5	2455	40672
run6	6	3057	40672
run6	7	2285	40672
run6	8	2033	40672
run6	9	1590	40672
run6	10	1960	40672
run6	11	1993	40672
run6	12	2224	40672
run6	13	1737	40672
run6	14	1515	40672
run6	15	1324	40672
run6	16	930	40672
run6	17	1121	40672
run6	18	972	40672
run6	19	813	40672
run6	20	805	40672
run6	21	549	40672
run6	22	506	40672
run6	X	750	40672
run6	Y	151	40672
run7	1	1776	22270
run7	2	1744	22270
run7	3	1539	22270
run7	4	1423	22270
run7	5	1325	22270
run7	6	1662	22270
run7	7	1435	22270
run7	8	1305	22270
run7	9	837	22270
run7	10	829	22270
run7	11	1022	22270
run7	12	1202	22270
run7	13	1082	22270
run7	14	735	22270
run7	15	734	22270
run7	16	454	22270
run7	17	637	22270
run7	18	454	22270
run7	19	504	22270
run7	20	447	22270
run7	21	281	22270
run7	22	308	22270
run7	X	445	22270
run7	Y	90	22270
run8	1	9272	123625
run8	2	9698	123625
run8	3	8783	123625
run8	4	9024	123625
run8	5	8089	123625
run8	6	8557	123625
run8	7	7310	123625
