Run	Chromosome	Count	RunTotal
run0	1	280652	3345352
run0	2	258539	3345352
run0	3	215239	3345352
run0	4	187342	3345352
run0	5	186800	3345352
run0	6	188555	3345352
run0	7	198129	3345352
run0	8	158713	3345352
run0	9	142039	3345352
run0	10	158614	3345352
run0	11	153875	3345352
run0	12	169855	3345352
run0	13	97891	3345352
run0	14	107346	3345352
run0	15	107371	3345352
run0	16	124383	3345352
run0	17	133031	3345352
run0	18	78273	3345352
run0	19	128414	3345352
run0	20	79636	3345352
run0	21	44364	3345352
run0	22	58103	3345352
run0	X	79122	3345352
run0	Y	9066	3345352
run1	1	90354	1086064
run1	2	87344	1086064
run1	3	72401	1086064
run1	4	72349	1086064
run1	5	62763	1086064
run1	6	67425	1086064
run1	7	62632	1086064
run1	8	52681	1086064
run1	9	44456	1086064
run1	10	52415	1086064
run1	11	50789	1086064
run1	12	53029	1086064
run1	13	37434	1086064
run1	14	35249	1086064
run1	15	35279	1086064
run1	16	33836	1086064
run1	17	36642	1086064
run1	18	28401	1086064
run1	19	30864	1086064
run1	20	24506	1086064
run1	21	15881	1086064
run1	22	15420	1086064
run1	X	21484	1086064
run1	Y	2430	1086064
run2	1	71948	846358
run2	2	66592	846358
run2	3	53521	846358
run2	4	53185	846358
run2	5	46277	846358
run2	6	51285	846358
run2	7	49344	846358
run2	8	38772	846358
run2	9	35497	846358
run2	10	41363	846358
run2	11	38671	846358
run2	12	40712	846358
run2	13	27260	846358
run2	14	26680	846358
run2	15	27791	846358
run2	16	28378	846358
run2	17	32032	846358
run2	18	21176	846358
run2	19	29079	846358
run2	20	21704	846358
run2	21	13450	846358
run2	22	14720	846358
run2	X	14477	846358
run2	Y	2444	846358
run3	1	70240	859841
run3	2	67093	859841
run3	3	54390	859841
run3	4	57115	859841
run3	5	47850	859841
run3	6	52824	859841
run3	7	50656	859841
run3	8	39346	859841
run3	9	35223	859841
run3	10	39931	859841
run3	11	38113	859841
run3	12	40179	859841
run3	13	28596	859841
run3	14	27168	859841
run3	15	28222	859841
run3	16	26880	859841
run3	17	29954	859841
run3	18	20603	859841
run3	19	24176	859841
run3	20	20795	859841
run3	21	14247	859841
run3	22	11981	859841
run3	X	31418	859841
run3	Y	2841	859841
run4	1	81294	984235
run4	2	77088	984235
run4	3	64186	984235
run4	4	61625	984235
run4	5	54598	984235
run4	6	60212	984235
run4	7	55994	984235
run4	8	45874	984235
run4	9	41081	984235
run4	10	47331	984235
run4	11	45463	984235
run4	12	47163	984235
run4	13	32136	984235
run4	14	30883	984235
run4	15	30961	984235
run4	16	30753	984235
run4	17	33972	984235
run4	18	25476	984235
run4	19	29860	984235
run4	20	23564	984235
run4	21	14431	984235
run4	22	15522	984235
run4	X	33116	984235
run4	Y	1652	984235
run5	1	14200	177781
run5	2	14235	177781
run5	3	11334	177781
run5	4	12574	177781
run5	5	10333	177781
run5	6	12301	177781
run5	7	10682	177781
run5	8	8112	177781
run5	9	7489	177781
run5	10	8550	177781
run5	11	8138	177781
run5	12	8315	177781
run5	13	6593	177781
run5	14	5451	177781
run5	15	5665	177781
run5	16	4682	177781
run5	17	5574	177781
run5	18	4779	177781
run5	19	4065	177781
run5	20	3982	177781
run5	21	3175	177781
run5	22	2291	177781
run5	X	4453	177781
run5	Y	808	177781
run6	1	60371	730939
run6	2	59061	730939
run6	3	48963	730939
run6	4	50733	730939
run6	5	42923	730939
run6	6	47039	730939
run6	7	43248	730939
run6	8	35293	730939
run6	9	30233	730939
run6	10	35151	730939
run6	11	33795	730939
run6	12	35327	730939
run6	13	26038	730939
run6	14	23302	730939
run6	15	23396	730939
run6	16	21942	730939
run6	17	24859	730939
run6	18	19179	730939
run6	19	19861	730939
run6	20	16326	730939
run6	21	11297	730939
run6	22	10492	730939
run6	X	10041	730939
run6	Y	2069	730939
run7	1	52603	617032
run7	2	47443	617032
run7	3	38442	617032
run7	4	37524	617032
run7	5	32544	617032
run7	6	37662	617032
run7	7	36427	617032
run7	8	27782	617032
run7	9	25842	617032
run7	10	30611	617032
run7	11	28406	617032
run7	12	29555	617032
run7	13	19294	617032
run7	14	18971	617032
run7	15	20502	617032
run7	16	20679	617032
run7	17	24408	617032
run7	18	14918	617032
run7	19	21112	617032
run7	20	15868	617032
run7	21	10023	617032
run7	22	11008	617032
run7	X	13455	617032
run7	Y	1953	617032
run8	1	36626	446689
run8	2	35922	446689
run8	3	29776	446689
run8	4	32438	446689
run8	5	26581	446689
run8	6	30722	446689
run8	7	26628	446689
run8	8	21145	446689
run8	9	18318	446689
run8	10	20973	446689
run8	11	20447	446689
run8	12	21061	446689
run8	13	16170	446689
run8	14	14027	446689
run8	15	13349	446689
run8	16	11823	446689
run8	17	13751	446689
run8	18	12137	446689
run8	19	10868	446689
run8	20	9936	446689
run8	21	7172	446689
run8	22	5708	446689
run8	X	9529	446689
run8	Y	1582	446689
run9	1	74024	892488
run9	2	72661	892488
run9	3	59845	892488
run9	4	59771	892488
run9	5	52368	892488
run9	6	55648	892488
run9	7	51979	892488
run9	8	43288	892488
run9	9	36625	892488
run9	10	43840	892488
run9	11	41790	892488
run9	12	43500	892488
run9	13	30926	892488
run9	14	29071	892488
run9	15	28514	892488
run9	16	27322	892488
run9	17	29434	892488
run9	18	23912	892488
run9	19	24171	892488
run9	20	20752	892488
run9	21	12875	892488
run9	22	12958	892488
run9	X	15168	892488
run9	Y	2046	892488
run10	1	25907	314931
run10	2	25023	314931
run10	3	20163	314931
run10	4	22057	314931
run10	5	17851	314931
run10	6	20850	314931
run10	7	19020	314931
run10	8	14302	314931
run10	9	13005	314931
run10	10	15393	314931
run10	11	14566	314931
run10	12	14763	314931
run10	13	11018	314931
run10	14	9925	314931
run10	15	10142	314931
run10	16	9134	314931
run10	17	10709	314931
run10	18	8298	314931
run10	19	8450	314931
run10	20	7320	314931
run10	21	5656	314931
run10	22	4477	314931
run10	X	5555	314931
run10	Y	1347	314931
run11	1	129963	1593833
run11	2	125626	1593833
run11	3	103661	1593833
run11	4	100980	1593833
run11	5	90250	1593833
run11	6	94839	1593833
run11	7	92085	1593833
run11	8	75294	1593833
run11	9	65359	1593833
run11	10	75020	1593833
run11	11	71758	1593833
run11	12	78483	1593833
run11	13	52871	1593833
run11	14	50863	1593833
run11	15	50814	1593833
run11	16	51211	1593833
run11	17	56832	1593833
run11	18	39454	1593833
run11	19	50351	1593833
run11	20	35809	1593833
run11	21	22678	1593833
run11	22	23901	1593833
run11	X	52855	1593833
run11	Y	2876	1593833
run12	1	87817	1015223
run12	2	81627	1015223
run12	3	64177	1015223
run12	4	59585	1015223
run12	5	57010	1015223
run12	6	59987	1015223
run12	7	59066	1015223
run12	8	48311	1015223
run12	9	41939	1015223
run12	10	49172	1015223
run12	11	47119	1015223
run12	12	49687	1015223
run12	13	30213	1015223
run12	14	32065	1015223
run12	15	32387	1015223
run12	16	35781	1015223
run12	17	39486	1015223
run12	18	24062	1015223
run12	19	34636	1015223
run12	20	25403	1015223
run12	21	14290	1015223
run12	22	17634	1015223
run12	X	21676	1015223
run12	Y	2093	1015223
run13	1	276309	3503834
run13	2	297582	3503834
run13	3	247645	3503834
run13	4	247825	3503834
run13	5	221244	3503834
run13	6	217676	3503834
run13	7	194045	3503834
run13	8	178702	3503834
run13	9	137623	3503834
run13	10	162672	3503834
run13	11	157391	3503834
run13	12	166969	3503834
run13	13	126766	3503834
run13	14	112072	3503834
run13	15	101591	3503834
run13	16	91452	3503834
run13	17	92451	3503834
run13	18	96102	3503834
run13	19	66235	3503834
run13	20	70926	3503834
run13	21	47415	3503834
run13	22	35998	3503834
run13	X	153290	3503834
run13	Y	3853	3503834
run14	1	45393	543141
run14	2	41918	543141
run14	3	34464	543141
run14	4	34662	543141
run14	5	30147	543141
run14	6	33887	543141
run14	7	32015	543141
run14	8	24721	543141
run14	9	22535	543141
run14	10	26813	543141
run14	11	24875	543141
run14	12	25857	543141
run14	13	17856	543141
run14	14	16866	543141
run14	15	17780	543141
run14	16	17397	543141
run14	17	20228	543141
run14	18	14091	543141
run14	19	18227	543141
run14	20	13488	543141
run14	21	8590	543141
run14	22	8923	543141
run14	X	10562	543141
run14	Y	1846	543141
run15	1	34901	422732
run15	2	33694	422732
run15	3	27551	422732
